2026-03-22 16:52:30.202 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:30.202 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:30.202 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:30.202 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
2026-03-22 16:52:30.203 | INFO     | backtest.engine:_execute_trades:285 | 2021-10-27: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:52:30.211 | WARNING  | strategy.portfolio:select_etfs:37 | 聚类筛选结果不足，使用全池ETF
2026-03-22 16:52:30.223 | INFO     | strategy.portfolio:select_etfs:47 | ETF选择完成: 选中 3 个ETF: ['159915', '159949', '510300']
2026-03-22 16:52:30.223 | INFO     | __main__:strategy_function:96 | ETF选择完成: 选中 3 个ETF
2026-03-22 16:52:30.230 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:30.230 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:30.230 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:30.231 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
2026-03-22 16:52:30.231 | INFO     | backtest.engine:_execute_trades:285 | 2023-05-10: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:52:30.490 | WARNING  | strategy.portfolio:select_etfs:37 | 聚类筛选结果不足，使用全池ETF
2026-03-22 16:52:30.497 | INFO     | strategy.portfolio:select_etfs:47 | ETF选择完成: 选中 3 个ETF: ['159915', '159949', '510300']
2026-03-22 16:52:30.497 | INFO     | __main__:strategy_function:96 | ETF选择完成: 选中 3 个ETF
2026-03-22 16:52:30.504 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:30.505 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:30.505 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:30.505 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
