2026-03-22 16:48:02.908 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.927 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.946 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.966 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:02.984 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.002 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.020 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.039 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.058 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.076 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.095 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.113 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.132 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.150 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.168 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.186 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.206 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.226 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:03.248 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
